Title,Year,Ranking
The Father,I 2020,8.3
Avengers: Endgame,2019,8.4
The Shawshank Redemption,1994,9.3
The Godfather,1972,9.2
Inception,2010,8.8
Interstellar,2014,8.6
Parasite,2019,8.6
Stand by Me,1986,8.1
Joker,2019,8.4
Soul,2020,8.1
The Dark Knight,2008,9.0
The Wolf of Wall Street,2013,8.2
Pulp Fiction,1994,8.9
Back to the Future,1985,8.5
The Lord of the Rings: The Fellowship of the Ring,2001,8.8
Inglourious Basterds,2009,8.3
Goodfellas,1990,8.7
Gladiator,2000,8.5
Avengers: Infinity War,2018,8.4
The Matrix,1999,8.7
Alien,1979,8.4
To Kill a Mockingbird,1962,8.3
Whiplash,2014,8.5
Fight Club,1999,8.8
1917,2019,8.3
Green Book,2018,8.2
The Departed,2006,8.5
The Silence of the Lambs,1991,8.6
Jurassic Park,1993,8.1
Forrest Gump,1994,8.8
Schindler's List,1993,8.9
Scarface,1983,8.3
Léon: The Professional,1994,8.5
Mad Max: Fury Road,2015,8.1
Aliens,1986,8.3
Prisoners,2013,8.1
Heat,1995,8.2
Shutter Island,2010,8.2
No Country for Old Men,2007,8.1
Django Unchained,2012,8.4
The Dark Knight Rises,2012,8.4
Se7en,1995,8.6
Gone Girl,2014,8.1
Hamilton,2020,8.5
The Princess Bride,1987,8.1
The Prestige,2006,8.5
Star Wars: Episode IV - A New Hope,1977,8.6
Saving Private Ryan,1998,8.6
The Green Mile,1999,8.6
The Shining,1980,8.4
